ref,obs_index,longitude,latitude,time,filename
1,34,143.03653,6.1314883,2021-04-15 08:42:27.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210415T060000Z_20210415T090000Z_P20210503T0617Z-3H-rep.nc
2,727,142.67412,7.9020567,2021-04-15 08:42:56.000000256,dataset-wav-sar-l3-spc-nrt-global-s1a_20210409T0600Z_20210503T0300Z_P20210426T0540Z_10-APR-2021-00H_lon_+176_lat_+47-rep.nc
3,878,132.51334,7.2859125,2021-04-16 09:23:55.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210409T0600Z_20210503T0300Z_P20210426T0540Z_10-APR-2021-00H_lon_+176_lat_+47-rep.nc
4,43,131.43396,12.5993395,2021-04-16 09:25:23.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210416T090000Z_20210416T120000Z_P20210503T0617Z-3H-rep.nc
5,0,134.52533,9.144372,2021-04-18 09:08:04.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210418T090000Z_20210418T120000Z_P20210503T0617Z-3H-rep.nc
6,127,152.71361,29.77467,2021-04-23 07:43:15.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T060000Z_20210423T090000Z_P20210510T0607Z-3H-rep.nc
7,129,154.41374,30.972874,2021-04-23 07:43:29.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T060000Z_20210423T090000Z_P20210510T0607Z-3H-rep.nc
8,131,152.3018,31.540897,2021-04-23 07:43:44.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T060000Z_20210423T090000Z_P20210510T0607Z-3H-rep.nc
9,133,154.03506,32.737556,2021-04-23 07:43:59.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T060000Z_20210423T090000Z_P20210510T0607Z-3H-rep.nc
10,135,151.8815,33.30631,2021-04-23 07:44:13.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T060000Z_20210423T090000Z_P20210510T0607Z-3H-rep.nc
11,136,153.65324,34.50313,2021-04-23 07:44:27.999999744,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T060000Z_20210423T090000Z_P20210510T0607Z-3H-rep.nc
12,139,151.45172,35.07045,2021-04-23 07:44:43.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T060000Z_20210423T090000Z_P20210510T0607Z-3H-rep.nc
13,142,153.26251,36.266956,2021-04-23 07:44:57.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T060000Z_20210423T090000Z_P20210510T0607Z-3H-rep.nc
14,36,155.80862,41.56053,2021-04-23 19:44:26.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
15,37,157.74922,40.366238,2021-04-23 19:44:41.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
16,39,155.39285,39.79996,2021-04-23 19:44:56.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
17,40,156.83765,36.84279,2021-04-23 19:45:40.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
18,41,154.58878,36.275448,2021-04-23 19:45:54.000000256,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
19,42,156.39752,35.07971,2021-04-23 19:46:09.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
20,44,154.19849,34.51272,2021-04-23 19:46:23.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
21,45,155.9681,33.31562,2021-04-23 19:46:38.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
22,48,153.81693,32.747314,2021-04-23 19:46:53.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
23,50,155.5481,31.550142,2021-04-23 19:47:07.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
24,52,153.43831,30.982285,2021-04-23 19:47:22.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
25,57,153.06451,29.216652,2021-04-23 19:47:50.999999744,dataset-wav-sar-l3-spc-nrt-global-s1a_20210423T0000Z_20210519T1800Z_P20210510T0555Z_23-APR-2021-18H_lon_+160_lat_+31-rep.nc
26,20,147.61836,24.990784,2021-04-26 08:06:37.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T0600Z_20210526T1800Z_P20210517T0541Z_27-APR-2021-06H_lon_+158_lat_+41-rep.nc
27,21,147.22743,26.760046,2021-04-26 08:07:06.000000256,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T0600Z_20210526T1800Z_P20210517T0541Z_27-APR-2021-06H_lon_+158_lat_+41-rep.nc
28,22,148.87785,27.96027,2021-04-26 08:07:20.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T0600Z_20210526T1800Z_P20210517T0541Z_27-APR-2021-06H_lon_+158_lat_+41-rep.nc
29,23,146.82765,28.527552,2021-04-26 08:07:35.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T0600Z_20210526T1800Z_P20210517T0541Z_27-APR-2021-06H_lon_+158_lat_+41-rep.nc
30,142,159.22038,36.915897,2021-04-27 07:12:18.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T060000Z_20210427T090000Z_P20210517T0543Z-3H-rep.nc
31,147,158.76775,38.677277,2021-04-27 07:12:48.000000256,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T060000Z_20210427T090000Z_P20210517T0543Z-3H-rep.nc
32,149,160.66566,39.871906,2021-04-27 07:13:02.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T060000Z_20210427T090000Z_P20210517T0543Z-3H-rep.nc
33,152,158.30157,40.43741,2021-04-27 07:13:17.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T060000Z_20210427T090000Z_P20210517T0543Z-3H-rep.nc
34,155,160.25273,41.63264,2021-04-27 07:13:32.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T060000Z_20210427T090000Z_P20210517T0543Z-3H-rep.nc
35,144,151.1532,27.593948,2021-04-28 07:50:52.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T0600Z_20210526T1800Z_P20210517T0541Z_27-APR-2021-06H_lon_+158_lat_+41-rep.nc
36,147,150.75014,29.361012,2021-04-28 07:51:21.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T0600Z_20210526T1800Z_P20210517T0541Z_27-APR-2021-06H_lon_+158_lat_+41-rep.nc
37,148,152.44652,30.55962,2021-04-28 07:51:36.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T0600Z_20210526T1800Z_P20210517T0541Z_27-APR-2021-06H_lon_+158_lat_+41-rep.nc
38,150,150.34418,31.127884,2021-04-28 07:51:51.000000000,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T0600Z_20210526T1800Z_P20210517T0541Z_27-APR-2021-06H_lon_+158_lat_+41-rep.nc
39,151,152.06897,32.325153,2021-04-28 07:52:05.000000256,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T0600Z_20210526T1800Z_P20210517T0541Z_27-APR-2021-06H_lon_+158_lat_+41-rep.nc
40,153,149.92615,32.893196,2021-04-28 07:52:19.999999744,dataset-wav-sar-l3-spc-nrt-global-s1a_20210427T0600Z_20210526T1800Z_P20210517T0541Z_27-APR-2021-06H_lon_+158_lat_+41-rep.nc
